City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
225,Craigieburn,-37.6,144.95,57.2,clear sky,41,0,10.36,AU,2021-04-21 06:39:11
226,Lasa,46.6166,10.7002,46.99,clear sky,86,0,3.44,IT,2021-04-21 06:39:12
227,Devils Lake,48.1128,-98.8651,28.99,overcast clouds,69,90,6.91,US,2021-04-21 06:39:12
228,Ribeira Grande,38.5167,-28.7,62.6,scattered clouds,88,40,13.8,PT,2021-04-21 06:39:12
229,Port Shepstone,-30.7414,30.455,69.37,few clouds,70,14,5.12,ZA,2021-04-21 06:39:13
230,Saint-Joseph,-21.3667,55.6167,78.8,light rain,83,75,11.5,RE,2021-04-21 06:39:13
231,General Escobedo,25.8167,-100.3333,68.0,clear sky,73,1,8.05,MX,2021-04-21 06:39:14
232,Bijapur,16.8333,75.7,96.48,overcast clouds,17,97,10.69,IN,2021-04-21 06:39:14
233,Kontagora,10.3999,5.4695,82.33,overcast clouds,64,98,8.16,NG,2021-04-21 06:39:14
234,Simcoe,42.8334,-80.2997,32.0,snow,93,100,2.3,CA,2021-04-21 06:34:28
235,Mangai,-4.05,19.5333,76.93,broken clouds,78,78,2.71,CD,2021-04-21 06:39:15
236,Bani Walid,31.7566,13.9942,63.05,clear sky,37,5,12.71,LY,2021-04-21 06:39:15
237,Touros,-5.1989,-35.4608,75.2,clear sky,94,0,2.3,BR,2021-04-21 06:39:16
238,Avera,33.194,-82.5271,55.99,clear sky,67,1,6.64,US,2021-04-21 06:39:16
239,Faanui,-16.4833,-151.75,81.81,few clouds,73,20,10.07,PF,2021-04-21 06:39:17
240,Kirakira,-10.4544,161.9205,81.43,overcast clouds,82,88,6.62,SB,2021-04-21 06:39:17
241,Thinadhoo,0.5333,72.9333,82.42,clear sky,64,5,4.12,MV,2021-04-21 06:39:17
242,Divnomorskoye,44.5011,38.1353,53.44,overcast clouds,80,91,4.9,RU,2021-04-21 06:39:18
243,San Jose,37.3394,-121.895,52.0,few clouds,71,20,5.75,US,2021-04-21 06:39:04
244,Lincoln,40.8,-96.667,34.0,clear sky,80,1,3.44,US,2021-04-21 06:39:18
245,Comendador,18.8775,-71.7028,68.16,overcast clouds,88,91,4.97,DO,2021-04-21 06:39:19
246,Lata,40.1629,-8.3327,57.0,overcast clouds,93,100,1.01,PT,2021-04-21 06:39:19
247,Key West,24.5557,-81.7826,80.6,few clouds,83,20,12.66,US,2021-04-21 06:35:39
248,Barcelos,41.5388,-8.6151,53.6,scattered clouds,94,40,5.75,PT,2021-04-21 06:37:34
249,Rancho Palos Verdes,33.7445,-118.387,59.0,scattered clouds,81,47,3.0,US,2021-04-21 06:39:20
250,Sisimiut,66.9395,-53.6735,19.56,few clouds,74,11,9.4,GL,2021-04-21 06:39:20
251,Portland,45.5234,-122.6762,57.99,few clouds,53,11,2.35,US,2021-04-21 06:37:19
252,Colares,38.7992,-9.4469,59.0,few clouds,94,20,2.3,PT,2021-04-21 06:39:21
253,Trelew,-43.249,-65.3051,63.66,overcast clouds,81,100,11.65,AR,2021-04-21 06:36:44
254,Mago,53.2514,140.1822,41.22,clear sky,61,10,8.19,RU,2021-04-21 06:39:21
255,Trairi,-3.2778,-39.2689,73.89,overcast clouds,91,100,2.53,BR,2021-04-21 06:39:22
256,Parkersburg,39.2667,-81.5615,44.6,few clouds,61,20,6.91,US,2021-04-21 06:39:22
257,Mulchen,-37.7167,-72.2333,53.01,overcast clouds,93,100,1.52,CL,2021-04-21 06:39:23
258,Hithadhoo,-0.6,73.0833,82.81,clear sky,63,8,4.12,MV,2021-04-21 06:39:23
259,Ulaangom,49.9811,92.0667,29.8,overcast clouds,78,100,4.74,MN,2021-04-21 06:39:23
